TargetWord,Prime,Length,SubFreq,LogSubFreq,LogHAL,OrthoN,FreqGreater,BGSum,BGMean,POS,ELP LDT RT,ELP LDT Z,ELP LDT Acc,Relation1,Relation2,FAS,BAS,CueFanOut,LSA,LDT 200ms RT,LDT 200ms Z,LDT 200ms Acc,LDT 1200ms RT,LDT 1200ms Z,LDT 1200ms Acc,LDT 200ms RT Priming,LDT 200ms Z Priming,LDT 200ms Acc Priming,LDT 1200ms RT Priming,LDT 1200ms Z Priming,LDT 1200ms Acc Priming
act,PRETEND,7,40.31,3.31,8.89,0,,17213,2868.83,VB|JJ,610.63,-0.47,0.97,synonym,,0.115,0.176,13,0.14,620.787878787879,-0.0982843966180095,0.939393939393939,650.709677419355,-0.368757944500474,1,8.24337121212125,-0.166190654587372,0.0293560606060606,-37.5534274193549,0.126057208091448,-0.0625
action,CONSEQUENCE,11,3.14,2.21,8.39,0,,18872,1887.2,NN,688.97,-0.34,0.97,unclassifed,,0.033,0,25,0.22,573.1875,-0.366788433549669,0.96875,725.34375,0.0616542143973012,0.9375,99.842803030303,0.15314823716222,0.000946969696969724,-63.4082661290323,-0.135516764636852,0.030241935483871
active,PASSIVE,7,2.18,2.05,8.43,1,1,8593,1432.17,JJ|NN,598.97,-0.55,0.94,antonym,,0.118,0.047,16,0.58,676.34375,-0.054829633345611,0.9375,656.5,-0.147937585479635,0.96875,76.1723790322581,0.102317714536339,0.0625,-2.71875,0.131981332278564,0
actor,COMEDIAN,8,4.1,2.32,7.02,0,,16396,2342.29,NN,662.53,-0.46,0.97,supraordinate,,0.027,0.014,9,0.17,616.65625,-0.213020286722911,1,609.129032258065,-0.372252937125788,0.967741935483871,13.65625,0.0475099560817646,-0.03125,7.93346774193549,0.00426809113086168,-0.030241935483871
actress,BULLOCK,7,6.39,2.51,6.94,0,,6230,1038.33,NN,800.7,0.13,1,supraordinate,,0.034,0,11,0.1,746.064516129032,0.243430713189796,0.967741935483871,638.5,-0.0900415157258822,0.96875,-59.1582661290323,-0.211988150171731,-0.030241935483871,15.3709677419355,0.0286375950085755,0.03125
add,NUMBERS,7,39.61,3.31,11.2,0,,9820,1636.67,NN|VB,581.44,-0.61,1,functional property,action,0.014,0.011,15,0.19,584.09375,-0.425228198415238,1,699.8125,-0.157111374581529,1,58.9385080645161,-0.00685167920603413,0,-97.2973484848485,-0.136407618903214,-0.0303030303030303
addition,EXTENSION,9,5.39,2.44,9.91,0,,19607,2450.88,NN,688.39,-0.33,1,unclassifed,,0.02,0,14,0.28,723.69696969697,0.222365696882672,0.939393939393939,664.84375,0.120517044211206,1,-10.4545454545455,-0.0130480372900703,0.0606060606060606,138.73689516129,0.612791263815465,-0.032258064516129
adjective,PRONOUN,7,0.24,1.11,6.46,0,,12423,2070.5,NN,784.5,-0.1,0.94,category,,0.059,0.022,13,0.92,707.8125,0.0248502874629289,0.96875,748.65625,0.325651186629794,1,107.03125,0.689941798182497,0.03125,37.4649621212121,0.232405373952803,-0.0909090909090909
adolescent,TEENAGER,8,6.88,2.55,7.8,0,,18665,2666.43,NN,689.76,-0.41,1,synonym,,0.072,0.262,22,0.28,675.903225806452,0.251894446703538,0.967741935483871,777.545454545455,0.516980075051463,0.909090909090909,77.5816226783969,0.334958553926054,-0.0283479960899315,140.422287390029,0.293407121250468,0.0586510263929619
adventure,CONQUEST,8,1.88,1.99,7.8,0,,16121,2303,NN,658.09,-0.4,1,unclassifed,,0.034,0,23,0.2,669.322580645161,-0.259026990723546,1,649,-0.061421471429351,0.96969696969697,75.2834799608993,0.668542574806386,-0.0303030303030303,41.96875,0.337805923945485,-0.0321969696969697
